id,filename,path,text,num_chars,duration,sample_rate
1,001305.wav,wavs\001305.wav,Многие деревья этого рода растут по несколько сотен лет.,56,4.075,44100
2,525301.wav,wavs\525301.wav,Об этом сообщает АКИpress со ссылкой на государственного советника по обороне Эльмурзу Сатыбалдиева.,100,7.367,44100
3,366508.wav,wavs\366508.wav,Общие затраты на Игры составят более полутора триллионов рублей.,64,4.598,44100
4,170934.wav,wavs\170934.wav,Пермский пороховой завод сорвал сроки выполнения гособоронзаказа.,65,4.676,44100
5,513025.wav,wavs\513025.wav,"Начало работы над пятым сезоном несколько раз откладывалось из-за разногласий, возникших между создателями сериала и каналом AMC.",129,9.273,44100
6,361986.wav,wavs\361986.wav,Однако были сохранены ограничения на поставки помидоров и некоторых других овощей.,82,5.564,44100
7,291923.wav,wavs\291923.wav,Духовный вождь мусульман-исмаилитов принц Ага Хан IV вложит двадцать пять миллионов долларов в возведение пятизвездочной гостиницы в Душанбе.,141,12.199,44100
8,459417.wav,wavs\459417.wav,"Как и козельская дивизия, соединение в Татищеве оснащено устаревшими ракетами УР-100НУТТХ.",90,7.523,44100
9,115118.wav,wavs\115118.wav,"При помощи этого зеркала запутывались прошедшие через него лазерные фотоны и светодиодные кванты, отраженные этим же зеркалом.",126,9.848,44100
10,345367.wav,wavs\345367.wav,"Фотографирование в верхней одежде и шарфах, закрывающих часть подбородка, запрещено.",84,6.766,44100
11,364333.wav,wavs\364333.wav,Среди мотивов покупки могут быть и другие причины.,50,3.344,44100
12,016312.wav,wavs\016312.wav,Теперь они в течение месяца должны сделать окончательные предложения.,69,4.415,44100
13,288595.wav,wavs\288595.wav,"Также ""Газпром"" планирует подать иск против Украины в стокгольмский арбитражный суд.",84,5.433,44100
14,059686.wav,wavs\059686.wav,Причиной называлось отсутствие сертификации Европейского агентства по авиационной безопасности EASA.,100,7.367,44100
15,120141.wav,wavs\120141.wav,Наркотики — «подозрительное вязкое вещество в многослойной упаковке» — обнаружили сотрудники таможни и Росгвардии.,114,8.594,44100
16,306237.wav,wavs\306237.wav,"Проснувшись, он захотел выпить, но не обнаружил ничего подходящего и решил выбраться из квартиры.",97,6.922,44100
17,358858.wav,wavs\358858.wav,"Однако завод, расположенный в России, ориентирован только на ВПК.",65,4.31,44100
18,046668.wav,wavs\046668.wav,После этого транспортные узлы перевели перевозчиков на внутренние системы регистрации.,86,5.93,44100
19,117283.wav,wavs\117283.wav,Пока что на поданный иск отреагировали только представители канадской железной дороги.,86,5.851,44100
20,308568.wav,wavs\308568.wav,Схожее по возможностям с очками Манна устройство разрабатывает Google.,70,5.042,44100
21,134558.wav,wavs\134558.wav,Оно разработано для мобильных гаджетов под управлением операционной системы iOS и доступно в магазине App Store.,112,8.124,44100
22,314772.wav,wavs\314772.wav,"Сотрудник другого банка уточнил, что сейчас идут переговоры по поводу изменения бизнес-модели «Трансаэро».",106,8.777,44100
23,469978.wav,wavs\469978.wav,"Вирус приходит на пользовательские компьютеры в виде пустого письма с вложенным файлом, маскирующимся под zip-архив.",116,8.49,44100
24,529339.wav,wavs\529339.wav,"В марте «Победа» открыла двадцать два направления, которые связали российские регионы с морскими курортами Сочи и Анапой.",121,9.091,44100
25,199215.wav,wavs\199215.wav,"На этой неделе он комментирует гонки первого этапа Кубка мира - 2011/12, проходящего в шведском Эстерсунде.",107,10.397,44100
26,333933.wav,wavs\333933.wav,"Актер был дважды прооперирован, но все еще находится в коме.",60,4.075,44100
27,266644.wav,wavs\266644.wav,"По этому поводу в больнице проводится служебное расследование, передает Reuters.",80,5.93,44100
28,501581.wav,wavs\501581.wav,"Как сообщила женщина, ей лишь прислали письмо с извинениями.",60,4.31,44100
29,524409.wav,wavs\524409.wav,"В целом, продукция агропромышленного комплекса стала в стране второй основной экспортной статьей после нефти и газа.",116,7.837,44100
30,280518.wav,wavs\280518.wav,Отток средств из паевых инвестиционных фондов ПИФов в апреле две тысячи девятого года существенно замедлился.,109,9.639,44100
31,275421.wav,wavs\275421.wav,На Украине есть три православные церкви.,40,3.004,44100
32,431939.wav,wavs\431939.wav,"Но подтверждение отвода – отдельный процесс, который продолжается.",66,4.78,44100
33,007820.wav,wavs\007820.wav,"Какие игроки, помимо капитана «Атлетико», попали под подозрение, на данный момент неизвестно.",93,7.105,44100
34,304612.wav,wavs\304612.wav,"«А пока вы все это не соблюдаете сами, но пытаетесь вести глубоко нравственную мораль, вы выглядите смешно», — отметил он.",122,8.62,44100
35,372660.wav,wavs\372660.wav,Ранее Европейский совет инициировал процедуру рассмотрения штрафов в отношении Португалии и Испании.,100,7.419,44100
36,046668.wav,wavs\046668.wav,После этого транспортные узлы перевели перевозчиков на внутренние системы регистрации.,86,5.93,44100
37,016312.wav,wavs\016312.wav,Теперь они в течение месяца должны сделать окончательные предложения.,69,4.415,44100
38,059686.wav,wavs\059686.wav,Причиной называлось отсутствие сертификации Европейского агентства по авиационной безопасности EASA.,100,7.367,44100
39,001305.wav,wavs\001305.wav,Многие деревья этого рода растут по несколько сотен лет.,56,4.075,44100
40,007820.wav,wavs\007820.wav,"Какие игроки, помимо капитана «Атлетико», попали под подозрение, на данный момент неизвестно.",93,7.105,44100
41,287060.wav,wavs\287060.wav,Государство является нетто-импортером моторного топлива и нефтехимической продукции.,84,6.4,44100
42,242640.wav,wavs\242640.wav,Современная версия официально принята на вооружение российских войск ПВО в две тысячи двенадцатом году.,103,7.34,44100
43,423950.wav,wavs\423950.wav,"Такого мнения придерживается мать действующего главы Белого дома и бывшая первая американская леди Барбара Буш, сообщает Reuters.",129,9.613,44100
44,147948.wav,wavs\147948.wav,"Кроме того, представители издающего альбом лейбла Def Jam якобы были против такого наименования.",96,7.602,44100
45,411195.wav,wavs\411195.wav,"Позже, в эпоху Холодной войны, картина была провозглашена одним из самых ярких примеров ""глубокого проникновения коммунистической заразы"" в Голливуд.",149,10.214,44100
46,273721.wav,wavs\273721.wav,тридцатого марта глава Volvo Car Russia Мальмстен спрогнозировал рост российского авторынка.,92,7.602,44100
47,388835.wav,wavs\388835.wav,Ранее также сообщалось о другом инциденте с отдыхающими в Абхазии гражданами России.,84,6.504,44100
48,081411.wav,wavs\081411.wav,Он опроверг сообщение российских СМИ о многочисленных жертвах среди боевиков.,77,5.277,44100
49,319252.wav,wavs\319252.wav,"Более того, по мнению Царенко, ""однозначно нельзя утверждать, что взрыв на Манеже - это теракт"".",96,7.523,44100
50,505407.wav,wavs\505407.wav,"В свою очередь, российская группа инспекторов планирует выполнить наблюдательные полеты на самолете наблюдения Ту-154М Лк-1 над территориями США и Канады.",154,13.871,44100
51,246099.wav,wavs\246099.wav,Исследование было проведено Mail.ru совместно с МАСМИ.,54,5.042,44100
52,162519.wav,wavs\162519.wav,"Ликвидированные бандиты опознаны как активные члены «южной» группировки, находящиеся в федеральном розыске.",107,7.941,44100
53,432844.wav,wavs\432844.wav,"Звезды выбирают имена героев мультфильмов, сериалов и своих домашних питомцев.",78,6.269,44100
54,063715.wav,wavs\063715.wav,"Арест преступников, о котором СМИ сообщили пятого ноября, состоялся еще двадцатого сентября.",92,7.367,44100
55,151990.wav,wavs\151990.wav,Человеческий фактор мог стать основной причиной столкновения двух пассажирских поездов на перегоне Хольцкирхен — Розенхайм в немецкой Баварии.,142,10.893,44100
